created_at,id_str,user_id_str,full_text,favorite_count,urls,hashtags,user_mentions
2024-04-17 15:28:51+00:00,1780619439962202336,211495798,@nodepay_ai Who will be purged?....those who are not worthy....,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:28:48+00:00,1780619429317120046,1209655802383855616,@nodepay_ai $NODES SAVE  MY ROLLEEEEEE,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:28:40+00:00,1780619395490103512,1676098675997835265,@nodepay_ai LFG🔥,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:28:34+00:00,1780619370030588403,1187312632585261056,@nodepay_ai Will be the last man standing if i can like the purge movies🥳,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:28:30+00:00,1780619352246530284,1777505792700059648,@nodepay_ai The First Trial https://t.co/YUILsFQICZ,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:27:54+00:00,1780619200383635891,1759802795195330560,@nodepay_ai Happy be part of team $NODES,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:22:09+00:00,1780617753415897512,1351037025722523651,@nodepay_ai Puuuuurge,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:21:59+00:00,1780617711019803132,1383718558115401734,@nodepay_ai Send node,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:21:46+00:00,1780617657915748751,1696413665036279809,@nodepay_ai Strong founders will stay,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:20:58+00:00,1780617458228896194,1464465987546267653,@nodepay_ai https://t.co/c6XPLHNC9A,3,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:20:51+00:00,1780617427526602805,793962558323617792,@nodepay_ai Let's gooooo!!!!,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:17:02+00:00,1780616467802636542,1479807328895614977,@nodepay_ai Founders unite 💯,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:16:47+00:00,1780616405312037259,1013700296428609537,@nodepay_ai LFG!,1,[],[],"[{'id_str': '1761766475076132864', 'name': 'Nodepay', 'screen_name': 'nodepay_ai', 'indices': [0, 11]}]"
2024-04-17 15:14:05+00:00,1780615724387758516,1761766475076132864,"Please Note: All traditional Nodepay Support Services will be down until 7am tomorrow. 

Good luck. 

May the nodes be in your favor. https://t.co/3vHLBUSj66",55,[],[],[]
2024-04-17 15:14:04+00:00,1780615721468534993,1761766475076132864,"The purge commences at the siren, and so too begins the first public execution of founders.

🚨

6/6",47,[],[],[]
2024-04-17 15:14:04+00:00,1780615718939279567,1761766475076132864,"The Inaugural Nodepay Purge will test the resolve of our founders.

- Who are the Founders that will be publicly executed?

- What trials await?

- How many will be purged…?

Only time will tell…. ⏳

5/6👇🏼 https://t.co/CDFJN9P6si",35,[],[],[]
2024-04-17 15:14:03+00:00,1780615714849931542,1761766475076132864,"The Founders are the pillars of the Nodepay Network.

All members outside of the exclusive founders group must be able to trust their futures are in good hands.

And so - a trial by fire for the first 1420…

4/6 👇🏼 https://t.co/8WSTAehJL5",35,[],[],[]
2024-04-17 15:14:02+00:00,1780615711825744009,1761766475076132864,"The 1420 Nodepay founders possess extraordinary power:

- first access to Beta,
- multiplier on earnings.
- a share of untold rewards.
- votes to shape the network's future
- and thats only the beginning...

But such power comes with great responsibility.

3/6👇🏼",34,[],[],[]
2024-04-17 15:14:02+00:00,1780615709581861347,1761766475076132864,"Whispers fill the Nodepay halls...

Something is brewing within the Founders' circle.

They say a public execution is imminent.

A Founder (or many) may fall...

Why this sudden reckoning?

2/6👇🏼",33,[],[],[]
